"Y" "X1" "X2" "X3" "X4" "X5"
4.4 9.66 52.1 9.9 98.3 83
2.7 7.14 57.6 13.1 92.6 92
7.7 12.78 56.8 46 116.9 322
3.5 8.03 54.2 24.3 87.3 97
3 11.2 45 7 78.9 130
4.9 11.07 53.2 28.5 122 768
6.3 8.84 56.3 29.6 82.6 85
1.8 7.67 51.7 2.5 40.4 106
3.5 7.94 49.5 6.2 92.3 195
4.5 9.61 52.4 6.9 87.2 487
3.9 8.28 49.5 12 113.1 546
1.3 8.92 53.9 2.2 79.5 56
6.2 10.15 51.9 16.4 59.2 568
2.7 8.34 56.9 8.1 74 107
4.2 8.88 51.5 10.1 86.9 305
3.8 8.66 52.8 6.8 69.5 246
4.5 10.05 52 36.7 87.5 184
5.8 11.41 50.4 23.8 73 424
4.2 7.53 42 23.1 98.9 95
5.6 11.48 57.6 20.3 82 252
6.6 13.95 65.9 15.6 133.5 356
4.4 10.02 49.5 8.3 93 265
2.1 8.02 55 3.8 46.5 91
3.7 8.48 51.1 12.1 92.8 166
4.6 9.68 57.8 16.7 79 186
4.5 6.7 48.6 13 80.8 76
4.8 10.24 49 36.3 112.6 195
2.6 9.76 53.2 6.9 80.1 64
4.9 9.89 50.5 17.7 103.6 167
4.3 7.65 47.1 16.4 65.7 318
4.3 8.67 48.2 24.4 90.8 182
4.3 9.42 50.6 24.8 62.8 508
5.4 11.18 45.7 60.5 85.8 640
4.1 7.13 55.7 9 39.6 279
5.7 11.8 53.8 9.1 116.9 571
5.5 10.9 57.2 10.6 71.9 593
4.1 9.35 53.8 15.9 80.9 833
4.4 7.7 56.9 12.2 67.9 129
5.3 8.15 54.9 12.3 79.8 99
3.1 8.63 54 8.4 56.2 76
3.4 8.45 38.8 12.9 85 235
1.3 8.16 60.9 1.9 58 73
5.1 10.3 59.6 27.8 88.9 175
5 11.03 49.9 19.7 102.1 318
1.4 7.14 51.7 4.1 45.7 115
5.5 11.08 50.2 18.6 63.6 387
4.5 9.44 52.5 10.9 58.5 297
3.1 9.41 59.5 20.6 91.7 29
3.9 11.15 56.5 7.7 73.9 281
2.8 9.97 58.2 16.5 76.5 90
4.5 8.28 48.1 26 101.8 108
2 7.08 52 12.3 56.4 87
4.1 9.05 51.2 20.5 79.8 195
6.1 13.59 54 24.2 111.7 312
3.7 7.58 56.7 20.8 88 97
2.5 8.54 56.1 27 82.5 98
3.7 8.58 55 7.4 95.9 304
5.4 7.93 64.1 7.5 98.1 68
1.6 8.82 58.2 3.8 51.7 80
4.5 9.31 47.2 30.2 101.3 170
6.5 19.56 59.9 17.2 113.7 306
4.3 9.23 51.6 11.6 42.6 620
4.6 10.16 54.2 8.4 51.5 831
7.8 12.07 43.7 52.4 105.3 157
